TASK	ERROR-RETRY-TIMES	CREATED-TIME	SUBMITED-TIME	STARTED_TIME	FINISHED_TIME	EXECUTION-TIME
65	0	4/29/2008 0:2:15	4/29/2008 0:2:32	4/29/2008 0:2:37	4/29/2008 0:2:48	11564.0	11.0null
66	0	4/29/2008 0:2:15	4/29/2008 0:2:32	4/29/2008 0:2:37	4/29/2008 0:2:47	10492.0	10.0null
67	0	4/29/2008 0:2:15	4/29/2008 0:2:32	4/29/2008 0:2:36	4/29/2008 0:2:48	12169.0	12.0null
68	0	4/29/2008 0:2:15	4/29/2008 0:2:32	4/29/2008 0:2:34	4/29/2008 0:2:43	8991.0	8.0null
69	0	4/29/2008 0:2:15	4/29/2008 0:2:32	4/29/2008 0:2:37	4/29/2008 0:2:48	11004.0	11.0null
70	0	4/29/2008 0:2:15	4/29/2008 0:2:32	4/29/2008 0:2:37	4/29/2008 0:2:49	11749.0	11.0null
71	0	4/29/2008 0:2:15	4/29/2008 0:2:32	4/29/2008 0:2:36	4/29/2008 0:2:49	13005.0	13.0null
72	0	4/29/2008 0:2:15	4/29/2008 0:2:32	4/29/2008 0:2:34	4/29/2008 0:2:42	7729.0	7.0null
73	0	4/29/2008 0:2:15	4/29/2008 0:2:32	4/29/2008 0:2:34	4/29/2008 0:2:43	8863.0	8.0null
74	0	4/29/2008 0:2:15	4/29/2008 0:2:32	4/29/2008 0:2:37	4/29/2008 0:2:49	12213.0	12.0null
75	0	4/29/2008 0:2:15	4/29/2008 0:2:32	4/29/2008 0:2:34	4/29/2008 0:2:42	8272.0	8.0null
76	0	4/29/2008 0:2:15	4/29/2008 0:2:33	4/29/2008 0:2:35	4/29/2008 0:2:49	13393.0	13.0null
77	0	4/29/2008 0:2:15	4/29/2008 0:2:33	4/29/2008 0:2:39	4/29/2008 0:2:50	10841.0	10.0null
78	0	4/29/2008 0:2:15	4/29/2008 0:2:33	4/29/2008 0:2:34	4/29/2008 0:2:44	10070.0	10.0null
79	0	4/29/2008 0:2:15	4/29/2008 0:2:34	4/29/2008 0:2:34	4/29/2008 0:2:43	8481.0	8.0null
80	0	4/29/2008 0:2:15	4/29/2008 0:2:33	4/29/2008 0:2:39	4/29/2008 0:2:49	10658.0	10.0null
81	0	4/29/2008 0:2:15	4/29/2008 0:2:33	4/29/2008 0:2:37	4/29/2008 0:2:49	11785.0	11.0null
82	0	4/29/2008 0:2:15	4/29/2008 0:2:34	4/29/2008 0:2:39	4/29/2008 0:2:50	11457.0	11.0null
83	0	4/29/2008 0:2:15	4/29/2008 0:2:34	4/29/2008 0:2:40	4/29/2008 0:2:50	9898.0	9.0null
84	0	4/29/2008 0:2:15	4/29/2008 0:2:34	4/29/2008 0:2:35	4/29/2008 0:2:45	10306.0	10.0null
85	0	4/29/2008 0:2:15	4/29/2008 0:2:34	4/29/2008 0:2:37	4/29/2008 0:2:48	11441.0	11.0null
86	0	4/29/2008 0:2:15	4/29/2008 0:2:34	4/29/2008 0:2:35	4/29/2008 0:2:43	8551.0	8.0null
87	0	4/29/2008 0:2:15	4/29/2008 0:2:34	4/29/2008 0:2:40	4/29/2008 0:2:49	9343.0	9.0null
88	0	4/29/2008 0:2:15	4/29/2008 0:2:34	4/29/2008 0:2:38	4/29/2008 0:2:49	11127.0	11.0null
89	0	4/29/2008 0:2:15	4/29/2008 0:2:34	4/29/2008 0:2:40	4/29/2008 0:2:49	9044.0	9.0null
90	0	4/29/2008 0:2:15	4/29/2008 0:2:34	4/29/2008 0:2:35	4/29/2008 0:2:46	10967.0	10.0null
91	0	4/29/2008 0:2:15	4/29/2008 0:2:34	4/29/2008 0:2:39	4/29/2008 0:2:51	11768.0	11.0null
92	0	4/29/2008 0:2:15	4/29/2008 0:2:34	4/29/2008 0:2:41	4/29/2008 0:2:50	8311.0	8.0null
93	0	4/29/2008 0:2:15	4/29/2008 0:2:34	4/29/2008 0:2:35	4/29/2008 0:2:46	10469.0	10.0null
94	0	4/29/2008 0:2:15	4/29/2008 0:2:34	4/29/2008 0:2:40	4/29/2008 0:2:52	12470.0	12.0null
95	0	4/29/2008 0:2:15	4/29/2008 0:2:35	4/29/2008 0:2:44	4/29/2008 0:2:51	6764.0	6.0null
96	0	4/29/2008 0:2:15	4/29/2008 0:2:35	4/29/2008 0:2:35	4/29/2008 0:2:45	9942.0	9.0null
97	0	4/29/2008 0:2:15	4/29/2008 0:2:35	4/29/2008 0:2:40	4/29/2008 0:2:50	10006.0	10.0null
98	0	4/29/2008 0:2:15	4/29/2008 0:2:35	4/29/2008 0:2:43	4/29/2008 0:2:50	6644.0	6.0null
99	0	4/29/2008 0:2:15	4/29/2008 0:2:35	4/29/2008 0:2:39	4/29/2008 0:2:46	7432.0	7.0null
100	0	4/29/2008 0:2:15	4/29/2008 0:2:45	4/29/2008 0:2:48	4/29/2008 0:2:51	3628.0	3.0null
101	0	4/29/2008 0:2:15	4/29/2008 0:2:45	4/29/2008 0:2:46	4/29/2008 0:2:47	1553.0	1.0null
102	0	4/29/2008 0:2:15	4/29/2008 0:2:45	4/29/2008 0:2:46	4/29/2008 0:2:51	4340.0	4.0null
103	0	4/29/2008 0:2:15	4/29/2008 0:2:45	4/29/2008 0:2:48	4/29/2008 0:2:52	3257.0	3.0null
104	0	4/29/2008 0:2:15	4/29/2008 0:2:45	4/29/2008 0:2:48	4/29/2008 0:2:51	2338.0	2.0null
105	0	4/29/2008 0:2:15	4/29/2008 0:2:45	4/29/2008 0:2:49	4/29/2008 0:2:54	5661.0	5.0null
106	0	4/29/2008 0:2:15	4/29/2008 0:2:45	4/29/2008 0:2:46	4/29/2008 0:2:47	1627.0	1.0null
107	0	4/29/2008 0:2:15	4/29/2008 0:2:45	4/29/2008 0:2:48	4/29/2008 0:2:50	2310.0	2.0null
108	0	4/29/2008 0:2:15	4/29/2008 0:2:45	4/29/2008 0:2:51	4/29/2008 0:2:53	1871.0	1.0null
109	0	4/29/2008 0:2:15	4/29/2008 0:2:45	4/29/2008 0:2:46	4/29/2008 0:2:47	1262.0	1.0null
110	0	4/29/2008 0:2:15	4/29/2008 0:2:51	4/29/2008 0:2:52	4/29/2008 0:2:54	2740.0	2.0null
111	0	4/29/2008 0:2:15	4/29/2008 0:2:51	4/29/2008 0:2:52	4/29/2008 0:2:54	2664.0	2.0null
112	0	4/29/2008 0:2:15	4/29/2008 0:2:51	4/29/2008 0:2:51	4/29/2008 0:2:52	970.0	0.0null
113	0	4/29/2008 0:2:15	4/29/2008 0:2:51	4/29/2008 0:2:52	4/29/2008 0:2:56	3851.0	3.0null
114	0	4/29/2008 0:2:15	4/29/2008 0:2:51	4/29/2008 0:2:51	4/29/2008 0:2:52	985.0	0.0null
115	0	4/29/2008 0:2:15	4/29/2008 0:2:51	4/29/2008 0:2:52	4/29/2008 0:2:55	3113.0	3.0null
