TASK	ERROR-RETRY-TIMES	CREATED-TIME	SUBMITED-TIME	STARTED_TIME	FINISHED_TIME	EXECUTION-TIME
104	0	4/28/2008 7:37:49	4/28/2008 7:38:14	4/28/2008 7:38:19	4/28/2008 7:38:23	4259.0	4.0null
105	0	4/28/2008 7:37:49	4/28/2008 7:38:14	4/28/2008 7:38:21	4/28/2008 7:38:23	1967.0	1.0null
106	0	4/28/2008 7:37:49	4/28/2008 7:38:14	4/28/2008 7:38:18	4/28/2008 7:38:21	3371.0	3.0null
107	0	4/28/2008 7:37:49	4/28/2008 7:38:14	4/28/2008 7:38:15	4/28/2008 7:38:20	5465.0	5.0null
108	0	4/28/2008 7:37:49	4/28/2008 7:38:14	4/28/2008 7:38:19	4/28/2008 7:38:23	4409.0	4.0null
109	0	4/28/2008 7:37:49	4/28/2008 7:38:14	4/28/2008 7:38:18	4/28/2008 7:38:22	3312.0	3.0null
110	0	4/28/2008 7:37:49	4/28/2008 7:38:26	4/28/2008 7:38:26	4/28/2008 7:38:29	2785.0	2.0null
111	0	4/28/2008 7:37:49	4/28/2008 7:38:26	4/28/2008 7:38:26	4/28/2008 7:38:27	970.0	0.0null
112	0	4/28/2008 7:37:49	4/28/2008 7:38:26	4/28/2008 7:38:26	4/28/2008 7:38:30	3913.0	3.0null
113	0	4/28/2008 7:37:49	4/28/2008 7:38:26	4/28/2008 7:38:26	4/28/2008 7:38:31	5207.0	5.0null
114	0	4/28/2008 7:37:49	4/28/2008 7:38:26	4/28/2008 7:38:26	4/28/2008 7:38:27	883.0	0.0null
115	0	4/28/2008 7:37:49	4/28/2008 7:38:26	4/28/2008 7:38:26	4/28/2008 7:38:32	5847.0	5.0null
116	0	4/28/2008 7:37:49	4/28/2008 7:38:26	4/28/2008 7:38:26	4/28/2008 7:38:30	4113.0	4.0null
117	0	4/28/2008 7:37:49	4/28/2008 7:38:26	4/28/2008 7:38:26	4/28/2008 7:38:31	4833.0	4.0null
118	0	4/28/2008 7:37:49	4/28/2008 7:38:26	4/28/2008 7:38:26	4/28/2008 7:38:27	1032.0	1.0null
